track_name,artist(s)_name,released_year,released_month,released_day,streams,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%,album_art_url
Watermelon Sugar,Harry Styles,2019,11,17,2322580122,55,56,82,12,34,5,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
lovely - Bonus Track,"Billie Eilish, Khalid",2017,8,11,2355719893,35,12,30,93,10,3,
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2023,6,21,66902503,78,59,65,10,26,5,
Queencard,(G)I-DLE,2023,5,15,96273746,82,69,83,3,27,5,https://i.scdn.co/image/ab67616d0000b27382dd2427e6d302711b1b9616
OMG,NewJeans,2023,1,2,430977451,80,74,77,36,11,4,https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01
Radio,Lana Del Rey,2011,1,1,284819874,42,20,86,21,9,9,https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2023,1,11,721975598,78,50,63,27,9,5,
505,Arctic Monkeys,2007,4,20,1217120710,52,20,85,0,7,5,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",2023,6,2,109276132,63,22,54,46,12,8,
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",2022,12,2,276259178,75,48,53,18,18,34,
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",2023,5,22,54225632,76,96,72,32,9,4,
Perfect,Ed Sheeran,2017,1,1,2559529074,60,17,45,16,11,2,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
Romantic Homicide,d4vd,2022,7,20,681583126,56,20,55,45,32,3,https://i.scdn.co/image/ab67616d0000b273bd1a52b3d5903ee01c216da0
Believer,Imagine Dragons,2017,1,31,2594040133,77,74,78,4,23,11,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a
Novo Balan ,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",2023,5,19,81102253,84,65,50,67,13,6,https://i.scdn.co/image/ab67616d0000b273ce0947b85c30490447dbbd91
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2023,6,1,11956641,93,68,65,42,12,25,https://i.scdn.co/image/ab67616d0000b27319d60821e80a801506061776
Without Me,Eminem,2002,1,1,1687664027,92,67,66,0,36,9,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
QUEMA,"Sog, Ryan Castro, Peso Pluma",2023,7,13,11599388,79,92,89,5,6,5,
Stargirl Interlude,"The Weeknd, Lana Del Rey",2016,11,24,611700552,59,52,48,38,10,11,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a
Ojitos Lindos,"Bomba Est  reo, Bad B",2022,5,6,1133865788,65,27,69,8,53,4,
Somewhere Only We Know,Keane,2004,1,1,1089402494,45,33,59,6,8,3,https://i.scdn.co/image/ab67616d0000b273045d0a38105fbe7bde43c490
